Date,Open,High,Low,Close,Volume
2025-05-23,193.665,197.70,193.46,195.27,78432920
2025-05-22,200.71,202.75,199.70,201.36,46742410
2025-05-21,205.17,207.04,200.71,202.09,59211770
2025-05-20,207.67,208.47,205.03,206.86,42496640
2025-05-19,207.91,209.48,204.26,208.78,46140530
2025-05-16,212.36,212.57,209.77,211.26,54737850
2025-05-15,210.95,212.96,209.54,211.45,45029470
2025-05-14,212.43,213.94,210.5801,212.33,49325830
2025-05-13,210.43,213.40,209.00,212.93,51909330
2025-05-12,210.97,211.2679,206.75,210.79,63775810
2025-05-09,199.00,200.5399,197.535,198.53,36453920
2025-05-08,197.72,200.05,194.6796,197.49,50478870
2025-05-07,199.17,199.44,193.25,196.25,68616940
2025-05-06,198.21,200.65,197.02,198.51,51216480
2025-05-05,203.10,204.10,198.21,198.89,69018450
2025-05-02,206.09,206.99,202.16,205.35,101010600
2025-05-01,209.08,214.56,208.90,213.32,57365680
2025-04-30,209.30,213.58,206.6705,212.50,52286450
2025-04-29,208.693,212.24,208.37,211.21,36827630
2025-04-28,210.00,211.50,207.46,210.14,38743070
